klasifikasi_kode_l6,kode_barang,nama_barang,nibar,nomor_register,spesifikasi_nama_barang,merk_tipe,jumlah,satuan,tahun_perolehan,keterangan
1.3.2.05.03.03,999,Kursi Kerja Pejabat Lain-Lain,120135711700000000000020231320503039990000003,120135711700000000000020231320503039990000003,Kursi Kerja Pejabat Lain-Lain,Merk: Kursi Putar Ardent ,1,unit,2023-10-08 00:00:00,08020010012000869
1.3.2.05.03.07,007,Lemari Buku Arsip Untuk Arsip Dinamis,120135711700000000000020111320503070070000001,120135711700000000000020111320503070070000001,Lemari Buku Arsip Untuk Arsip Dinamis,Merk: KNOCK DOWN NON TYPE ,1,unit,2011-08-07 00:00:00,08020010012000472
1.3.2.05.03.07,007,Lemari Buku Arsip Untuk Arsip Dinamis,120135711700000000000020111320503070070000002,120135711700000000000020111320503070070000002,Lemari Buku Arsip Untuk Arsip Dinamis,Merk: KNOCK DOWN NON TYPE ,1,unit,2011-08-07 00:00:00,08020010012000473
1.3.2.05.03.07,007,Lemari Buku Arsip Untuk Arsip Dinamis,120135711700000000000020111320503070070000003,120135711700000000000020111320503070070000003,Lemari Buku Arsip Untuk Arsip Dinamis,Merk: KNOCK DOWN NON TYPE ,1,unit,2011-08-07 00:00:00,08020010012000474
1.3.2.05.03.07,007,Lemari Buku Arsip Untuk Arsip Dinamis,120135711700000000000020111320503070070000004,120135711700000000000020111320503070070000004,Lemari Buku Arsip Untuk Arsip Dinamis,Merk: KNOCK DOWN NON TYPE ,1,unit,2011-08-07 00:00:00,08020010012000475
1.3.2.05.03.07,007,Lemari Buku Arsip Untuk Arsip Dinamis,120135711700000000000020111320503070070000005,120135711700000000000020111320503070070000005,Lemari Buku Arsip Untuk Arsip Dinamis,Merk: KNOCK DOWN NON TYPE ,1,unit,2011-08-07 00:00:00,08020010012000476
1.3.2.05.03.07,999,Lemari dan Arsip Pejabat Lain-Lain,120135711700000000000020211320503079990000001,120135711700000000000020211320503079990000001,Lemari dan Arsip Pejabat Lain-Lain,Merk: Filing Cabinet Lion lion ,1,unit,2021-08-03 00:00:00,08020010012000844
1.3.2.05.03.07,999,Lemari dan Arsip Pejabat Lain-Lain,120135711700000000000020211320503079990000002,120135711700000000000020211320503079990000002,Lemari dan Arsip Pejabat Lain-Lain,Merk: Filing Cabinet Lion lion ,1,unit,2021-08-03 00:00:00,08020010012000845
1.3.2.06.01.01,016,Compact Disc Player,120135711700000000000020111320601010160000001,120135711700000000000020111320601010160000001,Compact Disc Player,Merk: POLYTRON 2367 ,1,unit,2011-12-27 00:00:00,08020010012000482
1.3.2.06.01.01,016,Compact Disc Player,120135711700000000000020111320601010160000002,120135711700000000000020111320601010160000002,Compact Disc Player,Merk: POLYTRON 2367 ,1,unit,2011-12-27 00:00:00,08020010012000483
1.3.2.06.01.01,048,Uninterruptible Power Supply (UPS),120135711700000000000020101320601010480000001,120135711700000000000020101320601010480000001,Uninterruptible Power Supply (UPS),Merk: Kenica Kenica ,1,unit,2010-09-04 00:00:00,08020010012000484
1.3.2.06.01.01,048,Uninterruptible Power Supply (UPS),120135711700000000000020101320601010480000002,120135711700000000000020101320601010480000002,Uninterruptible Power Supply (UPS),Merk: Kenica Kenica ,1,unit,2010-09-04 00:00:00,08020010012000485
1.3.2.06.01.01,048,Uninterruptible Power Supply (UPS),120135711700000000000020241320601010480000001,120135711700000000000020241320601010480000001,Uninterruptible Power Supply (UPS),Merk: Altos / UPS Tipe: No type,1,Buah,2024-12-16 00:00:00,
1.3.2.06.01.01,999,Peralatan Studio Audio Lain-lain,120135711700000000000020191320601019990000001,120135711700000000000020191320601019990000001,Peralatan Studio Audio Lain-lain,Merk: PORTABLE SCREEN D-LIGHT ,1,unit,2019-11-29 00:00:00,08020010012000634
1.3.2.06.01.01,999,Peralatan Studio Audio Lain-lain,120135711700000000000020201320601019990000001,120135711700000000000020201320601019990000001,Peralatan Studio Audio Lain-lain,Merk: Tripot tourism ,1,unit,2020-12-16 00:00:00,08020010012000830
1.3.2.06.01.01,999,Peralatan Studio Audio Lain-lain,120135711700000000000020201320601019990000002,120135711700000000000020201320601019990000002,Peralatan Studio Audio Lain-lain,Merk: Kamera CANON EOS 77D ,1,unit,2020-12-16 00:00:00,08020010012000831
1.3.2.06.01.01,999,Peralatan Studio Audio Lain-lain,120135711700000000000020201320601019990000003,120135711700000000000020201320601019990000003,Peralatan Studio Audio Lain-lain,Merk: CAMERA WEBCAM C525 PORTABLE ,1,unit,2020-12-16 00:00:00,08020010012000832
1.3.2.06.01.01,999,Peralatan Studio Audio Lain-lain,120135711700000000000020201320601019990000004,120135711700000000000020201320601019990000004,Peralatan Studio Audio Lain-lain,Merk: MIC KAMERA WEARLESS BOYA WFM 12 ,1,unit,2020-12-16 00:00:00,08020010012000833
1.3.2.06.01.01,999,Peralatan Studio Audio Lain-lain,120135711700000000000020201320601019990000005,120135711700000000000020201320601019990000005,Peralatan Studio Audio Lain-lain,Merk: Speaker SIMBADA CST4200NT ,1,unit,2020-12-16 00:00:00,08020010012000834
1.3.2.06.01.01,999,Peralatan Studio Audio Lain-lain,120135711700000000000020201320601019990000006,120135711700000000000020201320601019990000006,Peralatan Studio Audio Lain-lain,Merk: Mic Meja AIWA ,1,unit,2020-12-16 00:00:00,08020010012000835
1.3.2.06.01.01,999,Peralatan Studio Audio Lain-lain,120135711700000000000020201320601019990000007,120135711700000000000020201320601019990000007,Peralatan Studio Audio Lain-lain,Merk: Mic Meja AIWA ,1,unit,2020-12-16 00:00:00,08020010012000836
1.3.2.06.01.01,999,Peralatan Studio Audio Lain-lain,120135711700000000000020201320601019990000008,120135711700000000000020201320601019990000008,Peralatan Studio Audio Lain-lain,Merk: Mic Meja AIWA ,1,unit,2020-12-16 00:00:00,08020010012000837
1.3.2.06.01.01,999,Peralatan Studio Audio Lain-lain,120135711700000000000020201320601019990000009,120135711700000000000020201320601019990000009,Peralatan Studio Audio Lain-lain,Merk: Grib Kamera DIAMOND ROD 15MM ,1,unit,2020-12-16 00:00:00,08020010012000838
1.3.2.06.01.01,999,Peralatan Studio Audio Lain-lain,120135711700000000000020201320601019990000010,120135711700000000000020201320601019990000010,Peralatan Studio Audio Lain-lain,Merk: Sound Card NYATA ,1,unit,2020-12-16 00:00:00,08020010012000839
1.3.2.06.01.01,999,Peralatan Studio Audio Lain-lain,120135711700000000000020201320601019990000011,120135711700000000000020201320601019990000011,Peralatan Studio Audio Lain-lain,Merk: Baterai Kamera CANON LP E17 ,1,unit,2020-12-16 00:00:00,08020010012000840
1.3.2.06.01.01,999,Peralatan Studio Audio Lain-lain,120135711700000000000020201320601019990000012,120135711700000000000020201320601019990000012,Peralatan Studio Audio Lain-lain,Merk: Baterai Kamera CANON LP E17 ,1,unit,2020-12-16 00:00:00,08020010012000841
1.3.2.06.01.02,045,Tripod Camera,120135711700000000000020251320601020450000001,120135711700000000000020251320601020450000001,Tripod,Merk: Zomie Tipe: -,1,unit,2025-11-07 00:00:00,BM 2025
1.3.2.06.01.02,061,Lensa Kamera,120135711700000000000020091320601020610000001,120135711700000000000020091320601020610000001,Lensa Kamera,Merk: KAMERA DIGITAL - SONY DSC-W210 ,1,unit,2009-12-31 00:00:00,08020010012000486
1.3.2.06.01.02,105,Layar Film/Projector,120135711700000000000020091320601021050000001,120135711700000000000020091320601021050000001,Layar Film/Projector,Merk: PROYEKTOR + ATTACHMENT - THOSIBA ATTACHMENT ,1,unit,2009-12-31 00:00:00,08020010012000481
1.3.2.06.01.02,105,Layar Film/Projector,120135711700000000000020191320601021050000001,120135711700000000000020191320601021050000001,Layar Film/Projector,Merk: BENQ MW826ST ,1,unit,2019-11-29 00:00:00,08020010012000633
1.3.2.06.01.02,116,Head Set,120135711700000000000020091320601021160000001,120135711700000000000020091320601021160000001,Head Set,Merk: MICROPHONE ( HEAD SET MICH ) BEHRINGER - - HPM-1000 ,1,unit,2009-12-31 00:00:00,08020010012000487
1.3.2.06.01.02,157,Clipp On,120135711700000000000020231320601021570000001,120135711700000000000020231320601021570000001,Clipp On,Merk: Saramonic Blink500pro ,1,unit,2023-11-29 00:00:00,08020010012000872
1.3.2.06.01.02,157,Clipp On,120135711700000000000020251320601021570000001,120135711700000000000020251320601021570000001,Buku,Merk: Shorush   Tipe: H58 ,1,Paket,2025-12-10 00:00:00,BM 2025
1.3.2.06.01.02,157,Clipp On,120135711700000000000020251320601021570000002,120135711700000000000020251320601021570000002,Buku,Merk: Shorush   Tipe: H58 ,1,Paket,2025-12-10 00:00:00,BM 2025
1.3.2.06.01.02,999,Peralatan Studio Video Dan Film Lain-Lain,120135711700000000000020211320601029990000001,120135711700000000000020211320601029990000001,Peralatan Studio Video Dan Film Lain-Lain,Merk: CCTV DVR DAHUA CH 5 MP ,1,unit,2021-07-05 00:00:00,08020010012000847
1.3.2.06.01.02,999,Peralatan Studio Video Dan Film Lain-Lain,120135711700000000000020211320601029990000002,120135711700000000000020211320601029990000002,Peralatan Studio Video Dan Film Lain-Lain,Merk: CCTV DAHUA 4 CH 5 MP ,1,unit,2021-07-05 00:00:00,08020010012000848
1.3.2.06.01.02,999,Peralatan Studio Video Dan Film Lain-Lain,120135711700000000000020231320601029990000001,120135711700000000000020231320601029990000001,Peralatan Studio Video Dan Film Lain-Lain,Merk: Gimbal Steady Pro 3-AXISSMARTPHONE GIMBAL ,1,unit,2023-11-29 00:00:00,08020010012000873
1.3.2.06.01.04,014,Mesin Jilid,120135711700000000000020091320601040140000001,120135711700000000000020091320601040140000001,Mesin Jilid,Merk: MESIN CETAK ID CARD - - ID CARD ,1,unit,2009-12-31 00:00:00,08020010012000490
1.3.2.06.01.04,045,Mesin Barcode,120135711700000000000020131320601040450000002,120135711700000000000020131320601040450000002,Mesin Barcode,Merk: SYMBOL BARCODE ,1,unit,2013-11-22 00:00:00,08020010012000492
1.3.2.06.01.04,045,Mesin Barcode,120135711700000000000020131320601040450000003,120135711700000000000020131320601040450000003,Mesin Barcode,Merk: SYMBOL BARCODE ,1,unit,2013-11-22 00:00:00,08020010012000493
1.3.2.06.01.04,045,Mesin Barcode,120135711700000000000020131320601040450000004,120135711700000000000020131320601040450000004,Mesin Barcode,Merk: SYMBOL BARCODE ,1,unit,2013-11-22 00:00:00,08020010012000494
1.3.2.06.02.01,010,Facsimile,120135711700000000000020091320602010100000001,120135711700000000000020091320602010100000001,Facsimile,Merk: FACSIMILE - PANASONIC KY-FT 933 ,1,unit,2009-12-31 00:00:00,08020010012000496
1.3.2.06.02.01,033,Handphone,120135711700000000000020251320602010330000001,120135711700000000000020251320602010330000001,Handphone,Merk: Iphone Tipe: -,1,unit,2025-12-02 00:00:00,BM 2025
1.3.2.06.03.17,999,Peralatan Microwave TVRO Lain-Lain,120135711700000000000020081320603179990000001,120135711700000000000020081320603179990000001,Peralatan Microwave TVRO Lain-Lain,Merk: TV - SHARP C 29 AXS 500 ,1,unit,2008-12-31 00:00:00,08020010012000497
1.3.2.07.01.01,126,Kursi Dorong,120135711700000000000020251320701011260000001,120135711700000000000020251320701011260000001,Kursi roda,Merk: Sellaco Tipe: -,1,unit,2025-12-03 00:00:00,BM 2025
1.3.2.07.01.01,999,Alat Kedokteran Umum Lain-lain,120135711900000009000020201320701019990000001,120135711700000000000020201320701019990000001,Alat Kedokteran Umum Lain-lain,Merk: THERMAL SCAN THERMAL SCAN ,1,unit,2020-12-31 00:00:00,04010130012002617
1.3.2.07.01.01,999,Alat Kedokteran Umum Lain-lain,120135711900000009000020201320701019990000002,120135711700000000000020201320701019990000001,Alat Kedokteran Umum Lain-lain,Merk: THERMAL SCAN THERMAL SCAN ,1,unit,2020-12-31 00:00:00,04010130012002618
1.3.2.07.01.01,999,Alat Kedokteran Umum Lain-lain,120135711900000009000020201320701019990000003,120135711700000000000020201320701019990000001,Alat Kedokteran Umum Lain-lain,Merk: THERMAL SCAN THERMAL SCAN ,1,unit,2020-12-31 00:00:00,04010130012002619
1.3.2.08.01.13,081,TV Monitor,120135711700000000000020111320801130810000001,120135711700000000000020111320801130810000001,TV Monitor,Merk: LG LK 311 LCD32 ,1,unit,2011-12-19 00:00:00,08020010012000500
1.3.2.08.01.13,081,TV Monitor,120135711700000000000020111320801130810000002,120135711700000000000020111320801130810000002,TV Monitor,Merk: LG LK 311 LCD32 ,1,unit,2011-12-19 00:00:00,08020010012000501
1.3.2.08.03.03,999,Bidang Studi : IPA Dasar Lain-Lain,120135711700000000000020101320803039990000001,120135711700000000000020101320803039990000001,Bidang Studi : IPA Dasar Lain-Lain,Merk: Alat peraga Alat peraga ,1,unit,2010-09-04 00:00:00,08020010012000502
1.3.2.10.01.01,001,Mainframe (Komputer Jaringan),120135711700000000000020101321001010010000001,120135711700000000000020101321001010010000001,Mainframe (Komputer Jaringan),Merk: Inforce Inforce ,1,unit,2010-09-04 00:00:00,08020010012000357
1.3.2.10.01.01,001,Mainframe (Komputer Jaringan),120135711700000000000020141321001010010000001,120135711700000000000020141321001010010000001,Mainframe (Komputer Jaringan),Merk: Rainer Mainframe ,1,unit,2014-11-11 00:00:00,08020010012000358
1.3.2.10.01.01,001,Mainframe (Komputer Jaringan),120135711700000000000020141321001010010000002,120135711700000000000020141321001010010000002,Mainframe (Komputer Jaringan),Merk: Rainer Mainframe ,1,unit,2014-11-11 00:00:00,08020010012000359
1.3.2.10.01.01,999,Komputer Unit/Jaringan Lain-Lain,120135711700000000000020191321001019990000001,120135711700000000000020191321001019990000001,Komputer Unit/Jaringan Lain-Lain,Merk: SERVER ASUS TS100-E9 ,1,unit,2019-08-16 00:00:00,08020010012000631
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020101321001020010000001,120135711700000000000020101321001020010000001,P.C Unit,Merk: Inforce PC ,1,unit,2010-09-04 00:00:00,08020010012000363
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020131321001020010000001,120135711700000000000020131321001020010000001,P.C Unit,Merk: lenovo PC ,1,unit,2013-11-22 00:00:00,08020010012000370
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020131321001020010000002,120135711700000000000020131321001020010000002,P.C Unit,Merk: HP Compaq Pro6300 MTPC Pro6300 ,1,unit,2013-11-28 00:00:00,08020010012000371
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020141321001020010000001,120135711700000000000020141321001020010000001,P.C Unit,Merk: HP Z230 Workstation Desktop PC ,1,unit,2014-02-09 00:00:00,08020010012000401
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020141321001020010000002,120135711700000000000020141321001020010000002,P.C Unit,Merk: Eaton 5E2000i UPS ,1,unit,2014-02-09 00:00:00,08020010012000402
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020141321001020010000003,120135711700000000000020141321001020010000003,P.C Unit,Merk: HP 1810-8G v2 Switch Switch 8 Port ,1,unit,2014-02-09 00:00:00,08020010012000403
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020141321001020010000004,120135711700000000000020141321001020010000004,P.C Unit,Merk: Kabel UTP Cat. 6 + Konektor Cat 6 Kabel UTP & Connector ,1,unit,2014-02-09 00:00:00,08020010012000404
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020141321001020010000005,120135711700000000000020141321001020010000005,P.C Unit,Merk: HP LaserJet Pro CP1025 Printer ,1,unit,2014-02-09 00:00:00,08020010012000405
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020141321001020010000006,120135711700000000000020141321001020010000006,P.C Unit,Merk: Logitech HD Webcam C920 WEBCAM ,1,unit,2014-02-09 00:00:00,08020010012000406
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020141321001020010000007,120135711700000000000020141321001020010000007,P.C Unit,Merk: Honeywell Orbit 7120 Barcode Reader ,1,unit,2014-02-09 00:00:00,08020010012000407
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020161321001020010000005,120135711700000000000020161321001020010000005,P.C Unit,Merk: Lenovo IC 300 ,1,unit,2016-09-06 00:00:00,08020010012000554
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020161321001020010000006,120135711700000000000020161321001020010000006,P.C Unit,Merk: Lenovo IC 300 ,1,unit,2016-09-06 00:00:00,08020010012000555
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020161321001020010000007,120135711700000000000020161321001020010000007,P.C Unit,Merk: Lenovo IC 300 ,1,unit,2016-09-06 00:00:00,08020010012000556
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020171321001020010000001,120135711700000000000020171321001020010000001,P.C Unit,Merk: ASUS ASUS ,1,unit,2017-05-30 00:00:00,08020010012000564
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020181321001020010000001,120135711700000000000020181321001020010000001,P.C Unit,Merk: DELL rakitan ,1,unit,2018-08-13 00:00:00,08020010012000600
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020181321001020010000002,120135711700000000000020181321001020010000002,P.C Unit,Merk: HP 20 C423L ,1,unit,2018-12-20 00:00:00,08020010012000601
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020181321001020010000003,120135711700000000000020181321001020010000003,P.C Unit,Merk: HP 20 C423L ,1,unit,2018-12-20 00:00:00,08020010012000602
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020181321001020010000004,120135711700000000000020181321001020010000004,P.C Unit,Merk: HP 20 C423L ,1,unit,2018-12-20 00:00:00,08020010012000603
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020191321001020010000001,120135711700000000000020191321001020010000001,P.C Unit,Merk: DELL VESTRO3670MT ,1,unit,2019-08-16 00:00:00,08020010012000785
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020191321001020010000002,120135711700000000000020191321001020010000002,P.C Unit,Merk: DELL VESTRO3670MT ,1,unit,2019-08-16 00:00:00,08020010012000786
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020191321001020010000003,120135711700000000000020191321001020010000003,P.C Unit,Merk: DELL VESTRO3670MT ,1,unit,2019-08-16 00:00:00,08020010012000787
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020191321001020010000004,120135711700000000000020191321001020010000004,P.C Unit,Merk: DELL VESTRO3670MT ,1,unit,2019-08-16 00:00:00,08020010012000788
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020191321001020010000005,120135711700000000000020191321001020010000005,P.C Unit,Merk: LENOVO L12215sO ,1,unit,2019-01-11 00:00:00,08020010012000805
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020191321001020010000006,120135711700000000000020191321001020010000006,P.C Unit,Merk: HP 280G3SFF ,1,unit,2019-04-26 00:00:00,08020010012000622
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020211321001020010000001,120135711700000000000020211321001020010000001,P.C Unit,Merk: HP SLIM SO1-pD0105L ,1,unit,2021-02-12 00:00:00,08020010012000851
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020211321001020010000002,120135711700000000000020211321001020010000002,P.C Unit,Merk: HP SLIM SO1-pD0105L ,1,unit,2021-02-12 00:00:00,08020010012000852
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020211321001020010000003,120135711700000000000020211321001020010000003,P.C Unit,Merk: HP SLIM SO1-pD0105L ,1,unit,2021-02-12 00:00:00,08020010012000853
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020231321001020010000001,120135711700000000000020231321001020010000001,P.C Unit,Merk: ASUS CORE I3 ,1,unit,2023-11-29 00:00:00,08020010012000874
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020231321001020010000002,120135711700000000000020231321001020010000002,P.C Unit,Merk: ASUS CORE I3 ,1,unit,2023-11-29 00:00:00,08020010012000875
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020231321001020010000003,120135711700000000000020231321001020010000003,P.C Unit,Merk: ASUS CORE I3 ,1,unit,2023-11-29 00:00:00,08020010012000876
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020241321001020010000001,120135711700000000000020241321001020010000001,P.C Unit,Merk: ADVAN Tipe: ONEPC,1,unit,2024-12-13 00:00:00,
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020241321001020010000002,120135711700000000000020241321001020010000002,P.C Unit,Merk: ADVAN Tipe: ONEPC,1,unit,2024-12-13 00:00:00,
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020241321001020010000003,120135711700000000000020241321001020010000003,P.C Unit,Merk: ADVAN Tipe: ONEPC,1,unit,2024-12-13 00:00:00,
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020241321001020010000004,120135711700000000000020241321001020010000004,P.C Unit,Merk: Acer Tipe: Intel Core,1,unit,2024-12-16 00:00:00,
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020241321001020010000005,120135711700000000000020241321001020010000005,P.C Unit,Merk: Acer Tipe: Intel Core,1,unit,2024-12-16 00:00:00,
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020241321001020010000006,120135711700000000000020241321001020010000006,P.C Unit,Merk: Acer Tipe: Intel Core,1,unit,2024-12-16 00:00:00,
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020241321001020010000007,120135711700000000000020241321001020010000007,P.C Unit,Merk: Acer Tipe: Intel Core,1,unit,2024-12-16 00:00:00,
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020251321001020010000001,120135711700000000000020251321001020010000001,P.C Unit,Merk: Acer Tipe: No type,1,unit,2025-08-05 00:00:00,Hibah dari Perpusnas RI
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020251321001020010000002,120135711700000000000020251321001020010000002,PC UNIT,Merk: Asus Tipe: ExpertCenter EG3408WVAK,1,unit,2025-12-08 00:00:00,BM 2025
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020251321001020010000003,120135711700000000000020251321001020010000003,PC UNIT,Merk: Asus Tipe: ExpertCenter EG3408WVAK,1,unit,2025-12-08 00:00:00,BM 2025
1.3.2.10.01.02,001,P.C Unit,120135711700000000000020251321001020010000004,120135711700000000000020251321001020010000004,PC UNIT,Merk: Asus Tipe: ExpertCenter EG3408WVAK,1,unit,2025-12-08 00:00:00,BM 2025
1.3.2.10.01.02,002,Lap Top,120135711700000000000020121321001020020000001,120135711700000000000020121321001020020000001,Lap Top,Merk: Thosiba LAPTOP ,1,unit,2012-11-23 00:00:00,08020010012000372
1.3.2.10.01.02,002,Lap Top,120135711700000000000020151321001020020000002,120135711700000000000020151321001020020000002,Lap Top,Merk: Lenovo G40-70 ,1,unit,2015-03-26 00:00:00,08020010012000376
1.3.2.10.01.02,002,Lap Top,120135711700000000000020151321001020020000010,120135711700000000000020151321001020020000010,Lap Top,Merk: TOSHIBA L55T-i3 ,1,unit,2015-11-12 00:00:00,08020010012000388
1.3.2.10.01.02,002,Lap Top,120135711700000000000020161321001020020000001,120135711700000000000020161321001020020000001,Lap Top,Merk: ASUS A455 LF ,1,unit,2016-09-06 00:00:00,08020010012000557
1.3.2.10.01.02,002,Lap Top,120135711700000000000020171321001020020000001,120135711700000000000020171321001020020000001,Lap Top,Merk: HP- 14-BSOO ,1,unit,2017-12-14 00:00:00,08020010012000574
1.3.2.10.01.02,002,Lap Top,120135711700000000000020181321001020020000001,120135711700000000000020181321001020020000001,Lap Top,Merk: HP 15 BW 07 ,1,unit,2018-12-20 00:00:00,08020010012000604
1.3.2.10.01.02,002,Lap Top,120135711700000000000020181321001020020000002,120135711700000000000020181321001020020000002,Lap Top,Merk: HP 240 66 ,1,unit,2018-08-13 00:00:00,08020010012000584
1.3.2.10.01.02,002,Lap Top,120135711700000000000020181321001020020000003,120135711700000000000020181321001020020000003,Lap Top,Merk: HP 240 66 ,1,unit,2018-08-13 00:00:00,08020010012000585
1.3.2.10.01.02,002,Lap Top,120135711700000000000020181321001020020000004,120135711700000000000020181321001020020000004,Lap Top,Merk: HP 240 66 ,1,unit,2018-08-13 00:00:00,08020010012000586
1.3.2.10.01.02,002,Lap Top,120135711700000000000020191321001020020000002,120135711700000000000020191321001020020000002,Lap Top,Merk: HP 14-CF0044TX ,1,unit,2019-04-26 00:00:00,08020010012000624
1.3.2.10.01.02,002,Lap Top,120135711700000000000020191321001020020000005,120135711700000000000020191321001020020000005,Lap Top,Merk: ASUS COREi3 ,1,unit,2019-07-16 00:00:00,08020010012000810
1.3.2.10.01.02,002,Lap Top,120135711700000000000020221321001020020000001,120135711700000000000020221321001020020000001,Lap Top,Merk: ASUS VIVOBOOK ULTRA ,1,unit,2022-11-22 00:00:00,08020010012000863
1.3.2.10.01.02,002,Lap Top,120135711700000000000020231321001020020000001,120135711700000000000020231321001020020000001,Lap Top,Merk: ASUS VIVOBOOK ,1,unit,2023-11-29 00:00:00,08020010012000877
1.3.2.10.01.02,002,Lap Top,120135711700000000000020241321001020020000001,120135711700000000000020241321001020020000001,Laptop,Merk: ADVAN Tipe: L24C-13ADI,1,unit,2024-12-13 00:00:00,
1.3.2.10.01.02,002,Lap Top,120135711700000000000020241321001020020000002,120135711700000000000020241321001020020000002,Laptop,Merk: ADVAN Tipe: L24C-13ADI,1,unit,2024-12-13 00:00:00,
1.3.2.10.01.02,002,Lap Top,120135711700000000000020241321001020020000003,120135711700000000000020241321001020020000003,Laptop,Merk: ADVAN Tipe: L24C-13ADI,1,unit,2024-12-13 00:00:00,
1.3.2.10.01.02,002,Lap Top,120135711700000000000020241321001020020000004,120135711700000000000020241321001020020000004,LAPTOP,Merk: Lenovo Tipe: IdeaPad slim 3 14IAH8,1,unit,2024-12-13 00:00:00,
1.3.2.10.01.02,002,Lap Top,120135711700000000000020251321001020020000001,120135711700000000000020251321001020020000001,Laptop,Merk: Asus Tipe: EXPERTBOOK,1,unit,2025-12-03 00:00:00,BM 2025
1.3.2.10.01.02,002,Lap Top,120135711700000000000020251321001020020000002,120135711700000000000020251321001020020000002,Laptop,Merk: Asus Tipe: EXPERTBOOK,1,unit,2025-12-03 00:00:00,BM 2025
1.3.2.10.01.02,002,Lap Top,120135711700000000000020251321001020020000003,120135711700000000000020251321001020020000003,, ,1,unit,2025-12-03 00:00:00,
1.3.2.10.01.02,002,Lap Top,120135711700000000000020251321001020020000004,120135711700000000000020251321001020020000004,, ,1,unit,2025-12-03 00:00:00,
1.3.2.10.01.02,002,Lap Top,120135711700000000000020251321001020020000005,120135711700000000000020251321001020020000005,, ,1,unit,2025-12-03 00:00:00,
1.3.2.10.01.02,002,Lap Top,120135711700000000000020251321001020020000006,120135711700000000000020251321001020020000006,, ,1,unit,2025-12-03 00:00:00,
1.3.2.10.01.02,002,Lap Top,120135711700000000000020251321001020020000007,120135711700000000000020251321001020020000007,LAPTOP,Merk: AXIOO Tipe: ZIO Metal,1,unit,2025-12-23 00:00:00,Mutasi 2025
1.3.2.10.01.02,003,Note Book,120135711700000000000020101321001020030000001,120135711700000000000020101321001020030000001,Note Book,Merk: Toshiba Satellite L645-1111U-Gray ,1,unit,2010-09-11 00:00:00,08020010012000390
1.3.2.10.01.02,009,Tablet PC,120135711700000000000020201321001020090000001,120135711700000000000020201321001020090000001,Tablet PC,Merk: SAMSUNG GALAXY TAB S6 ,1,unit,2020-12-30 00:00:00,08020010012000819
1.3.2.10.01.02,009,Tablet PC,120135711700000000000020241321001020090000001,120135711700000000000020241321001020090000001,Tablet PC,Merk: Samsung   Tipe: Galaxy tab 9,1,Buah,2024-12-16 00:00:00,
1.3.2.10.01.02,009,Tablet PC,120135711700000000000020241321001020090000002,120135711700000000000020241321001020090000002,Tablet PC,Merk: Samsung   Tipe: Galaxy tab 9,1,Buah,2024-12-16 00:00:00,
1.3.2.10.01.02,009,Tablet PC,120135711700000000000020241321001020090000003,120135711700000000000020241321001020090000003,Tablet PC,Merk: Samsung   Tipe: Galaxy tab 9,1,Buah,2024-12-16 00:00:00,
